name,url,test_types,description,duration,job_levels,languages,rich_text
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,A B P C D E K S,"This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.",50 minutes,"Front Line Manager, Manager, Supervisor,","English (USA),","Title: Branch Manager - Short Form
Description: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. There are multiple configurations and versions of this solution available.
Test Types: A B P C D E K S
Duration: 50 minutes
Job Levels: Front Line Manager, Manager, Supervisor,"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,B A P C D E K S,"The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.",28 minutes,"Entry-Level,","English (USA),","Title: Cashier Solution
Description: The Cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. Sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. Potential job titles that use this solution are: Cashier, Sales Associate, and Clerk. There are multiple configurations and versions of this solution available.
Test Types: B A P C D E K S
Duration: 28 minutes
Job Levels: Entry-Level,"
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,A E B C D P K S,"This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.",,"Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,",English (Global),"Title: Global Skills Development Report
Description: This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills.
Test Types: A E B C D P K S
Duration: 
Job Levels: Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor,"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,K A B C D E P S,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.",30 minutes,"Professional Individual Contributor, Mid-Professional,","English (USA),","Title: .NET Framework 4.5
Description: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.
Test Types: K A B C D E P S
Duration: 30 minutes
Job Levels: Professional Individual Contributor, Mid-Professional,"
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.",17 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: .NET MVC (New)
Description: Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas.
Test Types: K A B C D E P S
Duration: 17 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: .NET MVVM (New)
Description: Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start.
Test Types: K A B C D E P S
Duration: 5 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.",11 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: .NET WCF (New)
Description: Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.
Test Types: K A B C D E P S
Duration: 11 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.",9 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: .NET WPF (New)
Description: Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.
Test Types: K A B C D E P S
Duration: 9 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: .NET XAML (New)
Description: Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.
Test Types: K A B C D E P S
Duration: 5 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,K A B C D E P S,"Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",9 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Accounts Payable (New)
Description: Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.
Test Types: K A B C D E P S
Duration: 9 minutes
Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,S A B C D E K P,Simulated data entry test that measures the ability to process payables and vendor invoices.,8 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Accounts Payable Simulation (New)
Description: Simulated data entry test that measures the ability to process payables and vendor invoices.
Test Types: S A B C D E K P
Duration: 8 minutes
Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,K A B C D E P S,Multiple-choice test that measures the knowledge of processing receivables and invoices.,13 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Accounts Receivable (New)
Description: Multiple-choice test that measures the knowledge of processing receivables and invoices.
Test Types: K A B C D E P S
Duration: 13 minutes
Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,S A B C D E K P,Simulated data entry test that measures the ability to process receivables and invoices.,8 minutes,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Accounts Receivable Simulation (New)
Description: Simulated data entry test that measures the ability to process receivables and invoices.
Test Types: S A B C D E K P
Duration: 8 minutes
Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,"
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,K A B C D E P S,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",10 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: ADO.NET (New)
Description: Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.
Test Types: K A B C D E P S
Duration: 10 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.",17 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Adobe Experience Manager (New)
Description: Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.
Test Types: K A B C D E P S
Duration: 17 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,K A B C D E P S,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.",20 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Adobe Photoshop CC
Description: The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.
Test Types: K A B C D E P S
Duration: 20 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.",10 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Aeronautical Engineering (New)
Description: Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.
Test Types: K A B C D E P S
Duration: 10 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,K A B C D E P S,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.",10 minutes,"Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Aerospace Engineering (New)
Description: Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.
Test Types: K A B C D E P S
Duration: 10 minutes
Job Levels: Graduate, Mid-Professional, Professional Individual Contributor,"
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,K A B C D E P S,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.",7 minutes,"Graduate,","English (USA),","Title: Agile Software Development
Description: Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.
Test Types: K A B C D E P S
Duration: 7 minutes
Job Levels: Graduate,"
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.",13 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Agile Testing (New)
Description: Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.
Test Types: K A B C D E P S
Duration: 13 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,P A B C D E K S,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,16 minutes,"General Population,","English (USA),","Title: AI Skills
Description: The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.
Test Types: P A B C D E K S
Duration: 16 minutes
Job Levels: General Population,"
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.",6 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Amazon Web Services (AWS) Development (New)
Description: Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.
Test Types: K A B C D E P S
Duration: 6 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.",7 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Android Development (New)
Description: Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.
Test Types: K A B C D E P S
Duration: 7 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.",11 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Angular 6 (New)
Description: Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.
Test Types: K A B C D E P S
Duration: 11 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.",9 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: AngularJS (New)
Description: Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.
Test Types: K A B C D E P S
Duration: 9 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.",7 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Apache Hadoop (New)
Description: Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.
Test Types: K A B C D E P S
Duration: 7 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,K A B C D E P S,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.",9 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Apache Hadoop Extensions (New)
Description: Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.
Test Types: K A B C D E P S
Duration: 9 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Apache HBase (New)
Description: Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.
Test Types: K A B C D E P S
Duration: 5 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.",5 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Apache Hive (New)
Description: Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.
Test Types: K A B C D E P S
Duration: 5 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.",6 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Apache Kafka (New)
Description: Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.
Test Types: K A B C D E P S
Duration: 6 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.",6 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Apache Pig (New)
Description: Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.
Test Types: K A B C D E P S
Duration: 6 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.",8 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: Apache Spark (New)
Description: Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.
Test Types: K A B C D E P S
Duration: 8 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,K A B C D E P S,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.",13 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: ASP .NET with C# (New)
Description: Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.
Test Types: K A B C D E P S
Duration: 13 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,K A B C D E P S,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.",30 minutes,"Mid-Professional, Professional Individual Contributor,","English (USA),","Title: ASP.NET 4.5
Description: The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.
Test Types: K A B C D E P S
Duration: 30 minutes
Job Levels: Mid-Professional, Professional Individual Contributor,"
